id,node_id,explanation
a701c477-f426-474a-a800-4f38ee32f0ac,7ebbc047_u1_t1_s1,"COUNT counts how many rows or non-NULL values exist. COUNT(*) counts every row including NULLs; COUNT(column) skips NULLs. Example: COUNT(*) on a students table returns total enrolled students, while COUNT(grade) skips students with no grade recorded yet."
86dd383b-8963-4586-85a9-b1ef7cc40723,7ebbc047_u1_t1_s2,SUM adds up all numeric values in a column. NULL values are automatically skipped. Example: SUM(amount) on a sales table gives you total revenue for the period. It only works correctly on numeric columns like INT or FLOAT.
b16190ec-398a-4aec-921d-6eec93447045,7ebbc047_u1_t1_s3,"MIN returns the smallest value; MAX returns the largest. They work on numbers, dates and even strings. Example: MAX(salary) finds the highest-paid employee; MIN(order_date) finds the earliest order placed in the system."
5511a893-fdc2-4ddb-a2b8-b40202df51fe,7ebbc047_u1_t1_s4,"AVG divides the sum of a column by the count of non-NULL rows. NULLs are excluded from both numerator and denominator. Example: AVG(score) on an exam table gives the class average, automatically ignoring students who were absent and have NULL scores."
967b15f8-e15d-4575-9d36-9877a38b986a,7ebbc047_u1_t2_s1,The basic syntax places the aggregate function in the SELECT list. No GROUP BY means the function runs over the entire table and returns one row. Example: SELECT AVG(score) FROM matches returns a single number — the overall average score across all matches.
167e30ec-6065-4b55-b9f6-23be18e33be4,7ebbc047_u1_t2_s2,"You can list several aggregates separated by commas in one SELECT. This is efficient and readable. Example: SELECT MIN(price), MAX(price), AVG(price) FROM products gives minimum, maximum and average product price in a single database scan."
19defabc-bca8-44f9-b4ae-d5d22d95863c,7ebbc047_u1_t2_s3,WHERE is placed before the aggregation to restrict which rows are included. Only rows matching the condition contribute to the aggregate. Example: SELECT AVG(score) FROM matches WHERE year = 2023 computes average score only for 2023 matches.
6a47f84a-8b13-480f-8804-5a2a9876aa3f,7ebbc047_u1_t3_s1,COUNT(*) counts every row in the result set regardless of NULL values. COUNT(1) does the same thing — it counts a constant per row. Both return the same result. Example: SELECT COUNT(*) FROM employees returns the total headcount including employees with missing data.
b383bd86-a45d-436c-9c91-a64d131a5e3e,7ebbc047_u1_t3_s2,COUNT(column) counts only rows where the specified column is not NULL. This lets you count how many rows have data in a particular field. Example: COUNT(phone_number) in a contacts table tells you how many contacts actually have a phone number stored.
bf8e186f-a369-4073-83d3-12edcbf0d3cc,7ebbc047_u1_t3_s3,"When all input values are NULL, COUNT returns 0 (no rows counted) while SUM, AVG, MIN and MAX return NULL. This is important for defensive coding. Example: AVG(score) returns NULL if every score in the filtered set is NULL — always check for this in reports."
7fd5f939-a970-4c69-b2b1-7f865f4513a7,7ebbc047_u1_t4_s1,"MIN and MAX on string columns use dictionary (alphabetical) ordering. 'Apple' < 'Banana' < 'Zebra'. Example: SELECT MIN(player_name) FROM cricket returns the player whose name comes first alphabetically, not the lowest scorer."
e39d0456-01bb-4e6c-9a13-f2a9d42bac5f,7ebbc047_u1_t4_s2,"SUM and AVG are designed for numbers. On string columns, behaviour varies: some DBMS raise an error, some cast implicitly, some return NULL. Example: SUM(grade_letter) where grade is 'A'/'B' may error in PostgreSQL but silently return 0 in SQLite."
7958e6b9-ae9a-4d7e-8cf5-8a1344064759,7ebbc047_u1_t4_s3,"All aggregate functions (except COUNT(*)) automatically skip NULL values. This means your average or sum reflects only rows with actual data. Example: AVG(salary) with three salaries 50k, NULL, 70k returns 60k — the NULL is excluded from both sum and count."
8088875b-70f3-4835-8f3f-3e09a5fcf329,7ebbc047_u1_t5_s1,"The AS keyword renames the output column of an expression or aggregate. It makes the result set self-explanatory and easier to reference in application code. Example: SELECT SUM(runs) AS total_runs, AVG(runs) AS avg_runs FROM innings gives clean, readable column names."
9f8988aa-94d6-4a4f-ae90-ad44f7f30e2e,7ebbc047_u1_t5_s2,"Common patterns: SUM(score) shows a player's total runs; MAX(score) finds a player's best performance; MIN(score) finds the lowest. Example: SELECT player, SUM(score) AS total, MAX(score) AS best FROM matches GROUP BY player summarizes each player."
a316edb5-23d6-4bb1-b592-bd247d3d454a,7ebbc047_u1_t5_s3,"Practice combining aggregates with GROUP BY. Example: SELECT player, year, AVG(score) AS avg_score FROM matches GROUP BY player, year gives average per player per year. SELECT player, SUM(sixes) AS total_sixes FROM matches GROUP BY player counts sixes hit by each player."
c743f2cc-24cd-458a-9e76-d34b8b242af6,7ebbc047_u2_t1_s1,"CASE checks each WHEN condition in order and returns the first matching THEN value. If no condition matches and ELSE is provided, ELSE value is returned. Example: CASE WHEN age < 18 THEN 'Minor' WHEN age < 60 THEN 'Adult' ELSE 'Senior' END classifies people into age groups."
22cf7d60-8002-4353-9897-ce9499a9b955,7ebbc047_u2_t1_s2,"CASE is versatile — it can appear in SELECT (to create computed columns), ORDER BY (custom sort order), GROUP BY (custom grouping) and HAVING. Example: ORDER BY CASE WHEN status='Active' THEN 1 ELSE 2 END sorts active records first before inactive ones."
cac97948-dc12-4c84-bff9-1e7ff85f1884,7ebbc047_u2_t1_s3,"If no WHEN condition matches and there is no ELSE clause, CASE returns NULL by default. Always add ELSE to handle unmatched rows explicitly. Example: CASE WHEN score >= 90 THEN 'A' END returns NULL for scores below 90 if ELSE is omitted — add ELSE 'B' to avoid silent NULLs."
f8627048-da3a-4df4-986f-6b162ca47364,7ebbc047_u2_t2_s1,This pattern counts only rows matching a condition. CASE returns 1 for matching rows and NULL otherwise; COUNT ignores NULLs so only matches are counted. Example: SELECT COUNT(CASE WHEN gender='F' THEN 1 END) AS female_count FROM employees counts female employees without a WHERE clause.
1a6080b6-db8b-431d-9fc3-00395729bdcd,7ebbc047_u2_t2_s2,"Combine GROUP BY with CASE aggregates to get breakdowns per group in a single query. Example: SELECT dept, SUM(CASE WHEN score>=50 THEN 1 ELSE 0 END) AS passed FROM exams GROUP BY dept shows how many passed per department in one result set."
6e952a82-88e5-423d-9d2e-5a2d914b2f35,7ebbc047_u2_t2_s3,"CASE is ideal for bucketing continuous values into categories. Example: SELECT CASE WHEN rating >= 4.5 THEN 'Excellent' WHEN rating >= 3 THEN 'Good' ELSE 'Poor' END AS category, COUNT(*) FROM products GROUP BY category counts products in each rating bucket."
f818b10b-f8af-46e9-b34c-d01f2f983082,7ebbc047_u2_t3_s1,"UNION merges results and removes duplicate rows (slower, requires sorting). UNION ALL keeps all rows including duplicates (faster). Example: Merging customer lists from two regions with UNION removes duplicates who appear in both; UNION ALL keeps them twice."
d61dbf39-f267-4e61-926a-5b25e77de096,7ebbc047_u2_t3_s2,INTERSECT returns only rows that appear in both query results. It finds the overlap between two sets. Example: SELECT product_id FROM store_A INTERSECT SELECT product_id FROM store_B returns products sold in both stores.
c26c14b1-8852-4d2a-b72a-16d6a05a9005,7ebbc047_u2_t3_s3,EXCEPT (called MINUS in Oracle) returns rows from the first query that are not in the second. Example: SELECT user_id FROM registered EXCEPT SELECT user_id FROM purchased finds users who registered but never bought anything.
5b7e6fa6-1c25-4f8f-85b9-5bc5c57b3f86,7ebbc047_u2_t4_s1,"Both SELECT statements in a set operation must produce the same number of columns and each pair of corresponding columns must have compatible types. Example: Combining SELECT name, age with SELECT name, salary fails if age (INT) and salary (FLOAT) are incompatible — use CAST to align."
825cbff7-ec6b-46ec-908f-3c3fdfb5c402,7ebbc047_u2_t4_s2,"SQL matches columns by position, not by name. The first column of SELECT 1 is paired with the first column of SELECT 2. Example: SELECT 'Actor' AS role, name FROM actors UNION SELECT 'Director' AS role, name FROM directors works because both have role and name in the same order."
