id,config_id,title,type,parent_id,explanation,sort_order
7ebbc047_u1,7ebbc047,Aggregations,unit,,,1
7ebbc047_u1_t1,7ebbc047,Aggregate functions,topic,7ebbc047_u1,"Aggregate functions compute a single summary value from multiple rows. They are essential for data analysis. Instead of reading every row, you get totals, counts or averages in one step. Example: COUNT(*) on an orders table tells you how many orders exist without listing them all.",1
7ebbc047_u1_t1_s1,7ebbc047,COUNT — counts values or rows,subtopic,7ebbc047_u1_t1,,1
7ebbc047_u1_t1_s2,7ebbc047,SUM — adds numeric values,subtopic,7ebbc047_u1_t1,,2
7ebbc047_u1_t1_s3,7ebbc047,MIN / MAX — returns minimum / maximum,subtopic,7ebbc047_u1_t1,,3
7ebbc047_u1_t1_s4,7ebbc047,AVG — computes average,subtopic,7ebbc047_u1_t1,,4
7ebbc047_u1_t2,7ebbc047,Syntax and using multiple aggregates,topic,7ebbc047_u1,"You can combine multiple aggregate functions in a single SELECT to get several summaries at once. This is more efficient than running separate queries. Example: SELECT COUNT(*), SUM(price), AVG(price) FROM products gives count, total and average price in one query.",2
7ebbc047_u1_t2_s1,7ebbc047,SELECT aggregate_function(column) FROM table,subtopic,7ebbc047_u1_t2,,1
7ebbc047_u1_t2_s2,7ebbc047,Multiple aggregate functions in a single query,subtopic,7ebbc047_u1_t2,,2
7ebbc047_u1_t2_s3,7ebbc047,Use WHERE to filter rows before aggregation,subtopic,7ebbc047_u1_t2,,3
7ebbc047_u1_t3,7ebbc047,COUNT variants and NULL handling,topic,7ebbc047_u1,COUNT has important variants that behave differently with NULLs. Understanding this prevents subtle bugs in reports. Example: A table with 10 rows where 3 have NULL email will give COUNT(*) = 10 but COUNT(email) = 7.,3
7ebbc047_u1_t3_s1,7ebbc047,COUNT(*) and COUNT(1) — count all rows,subtopic,7ebbc047_u1_t3,,1
7ebbc047_u1_t3_s2,7ebbc047,COUNT(column) — counts non-NULL values only,subtopic,7ebbc047_u1_t3,,2
7ebbc047_u1_t3_s3,7ebbc047,"Aggregate behaviour when inputs are all NULL (COUNT=0, others=NULL)",subtopic,7ebbc047_u1_t3,,3
7ebbc047_u1_t4,7ebbc047,Aggregates on non-numeric and string data,topic,7ebbc047_u1,Aggregates behave differently on string and non-numeric columns. MIN/MAX work on strings but SUM/AVG may fail or produce unexpected results. Example: MIN(name) returns the alphabetically first name in a list.,4
7ebbc047_u1_t4_s1,7ebbc047,MIN / MAX on strings use lexicographic order,subtopic,7ebbc047_u1_t4,,1
7ebbc047_u1_t4_s2,7ebbc047,SUM / AVG on non-numeric types are DBMS-dependent,subtopic,7ebbc047_u1_t4,,2
7ebbc047_u1_t4_s3,7ebbc047,NULL values are ignored in aggregations,subtopic,7ebbc047_u1_t4,,3
7ebbc047_u1_t5,7ebbc047,Alias and examples,topic,7ebbc047_u1,"Using AS to alias aggregate results makes output columns readable. Without aliases, column headers show the function expression. Example: AVG(score) AS avg_score makes the result column clearly labeled in reports or app code.",5
7ebbc047_u1_t5_s1,7ebbc047,"Use AS to rename result columns (e.g., AVG(score) AS avg_score)",subtopic,7ebbc047_u1_t5,,1
7ebbc047_u1_t5_s2,7ebbc047,"Example: SUM(score) for a player, MAX/MIN for a year",subtopic,7ebbc047_u1_t5,,2
7ebbc047_u1_t5_s3,7ebbc047,"Practice queries: avg score by player/year, total sixes",subtopic,7ebbc047_u1_t5,,3
